CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3
0,40,50,0,0,960,0,960,0,960
1,45,68,10,690,750,570,630,900,960
2,45,70,30,750,810,480,540,570,630
3,42,66,10,780,840,540,600,720,780
4,42,68,10,480,540,810,870,750,810
5,42,65,10,690,750,810,870,480,540
6,40,69,20,780,840,570,630,840,900
7,40,66,20,540,600,780,840,900,960
8,38,68,20,690,750,480,540,870,930
9,38,70,10,870,930,720,780,540,600
10,35,66,10,630,690,570,630,690,750
11,35,69,10,900,960,510,570,780,840
12,25,85,20,540,600,600,660,660,720
13,22,75,30,690,750,480,540,570,630
14,22,85,10,540,600,840,900,900,960
15,20,80,40,840,900,780,840,480,540
16,20,85,40,780,840,510,570,570,630
17,18,75,20,660,720,510,570,840,900
18,15,75,20,510,570,600,660,840,900
19,15,80,10,870,930,720,780,660,720
20,30,50,10,720,780,540,600,840,900
21,30,52,20,870,930,660,720,780,840
22,28,52,20,570,630,750,810,630,690
23,28,55,10,480,540,750,810,810,870
24,25,50,10,900,960,570,630,690,750
25,25,52,40,690,750,570,630,810,870
26,25,55,10,570,630,810,870,510,570
27,23,52,10,540,600,630,690,480,540
28,23,55,20,510,570,870,930,630,690
29,20,50,10,660,720,540,600,900,960
30,20,55,10,630,690,690,750,780,840
31,10,35,20,900,960,750,810,600,660
32,10,40,30,540,600,870,930,810,870
33,8,40,40,720,780,840,900,570,630
34,8,45,20,480,540,690,750,600,660
35,5,35,10,480,540,600,660,690,750
36,5,45,10,600,660,900,960,750,810
37,2,40,20,900,960,540,600,750,810
38,0,40,30,780,840,900,960,690,750
39,0,45,20,630,690,780,840,840,900
40,35,30,10,570,630,870,930,510,570
41,35,32,10,510,570,720,780,780,840
42,33,32,20,480,540,660,720,900,960
43,33,35,10,600,660,510,570,660,720
44,32,30,10,630,690,480,540,780,840
45,30,30,10,630,690,720,780,900,960
46,30,32,30,480,540,750,810,540,600
47,30,35,10,810,870,720,780,480,540
48,28,30,10,660,720,780,840,540,600
49,28,35,10,630,690,480,540,750,810
50,26,32,10,720,780,780,840,510,570
51,25,30,10,690,750,630,690,510,570
52,25,35,10,600,660,840,900,690,750
53,44,5,20,480,540,900,960,570,630
54,42,10,40,690,750,540,600,810,870
55,42,15,10,660,720,480,540,780,840
56,40,5,30,540,600,900,960,600,660
57,40,15,40,540,600,720,780,630,690
58,38,5,30,660,720,600,660,840,900
59,38,15,10,750,810,600,660,660,720
60,35,5,20,720,780,780,840,630,690
61,50,30,10,720,780,630,690,780,840
62,50,35,20,570,630,870,930,690,750
63,50,40,50,480,540,810,870,750,810
64,48,30,10,660,720,810,870,750,810
65,48,40,10,540,600,840,900,630,690
66,47,35,10,750,810,600,660,540,600
67,47,40,10,810,870,750,810,480,540
68,45,30,10,600,660,510,570,660,720
69,45,35,10,600,660,900,960,660,720
70,95,30,30,900,960,510,570,570,630
71,95,35,20,600,660,660,720,480,540
72,53,30,10,540,600,690,750,600,660
73,92,30,10,690,750,480,540,750,810
74,53,35,50,510,570,750,810,660,720
75,45,65,20,540,600,870,930,480,540
76,90,35,10,600,660,840,900,900,960
77,88,30,10,780,840,540,600,900,960
78,88,35,20,660,720,840,900,510,570
79,87,30,10,660,720,540,600,480,540
80,85,25,10,630,690,540,600,870,930
81,85,35,30,510,570,810,870,690,750
82,75,55,20,660,720,840,900,780,840
83,72,55,10,570,630,840,900,480,540
84,70,58,20,660,720,810,870,720,780
85,68,60,30,690,750,480,540,540,600
86,66,55,10,480,540,750,810,570,630
87,65,55,20,720,780,780,840,840,900
88,65,60,30,810,870,570,630,900,960
89,63,58,10,900,960,510,570,630,690
90,60,55,10,660,720,720,780,780,840
91,60,60,10,780,840,840,900,900,960
92,67,85,20,720,780,480,540,900,960
93,65,85,40,750,810,570,630,690,750
94,65,82,10,900,960,660,720,810,870
95,62,80,30,750,810,840,900,540,600
96,60,80,10,480,540,690,750,840,900
97,60,85,30,570,630,900,960,840,900
98,58,75,20,870,930,660,720,780,840
99,55,80,10,690,750,630,690,900,960
100,55,85,20,840,900,690,750,900,960
