CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3
0,35.0,35.0,0.0,0,960,0,960,0,960
1,41.0,49.0,10.0,480,540,570,630,750,810
2,35.0,17.0,7.0,630,690,720,780,480,540
3,55.0,45.0,13.0,630,690,510,570,900,960
4,55.0,20.0,19.0,570,630,480,540,870,930
5,15.0,30.0,26.0,600,660,780,840,840,900
6,25.0,30.0,3.0,630,690,540,600,840,900
7,20.0,50.0,5.0,600,660,840,900,660,720
8,10.0,43.0,9.0,840,900,510,570,600,660
9,55.0,60.0,16.0,750,810,660,720,840,900
10,30.0,60.0,16.0,630,690,900,960,810,870
11,20.0,65.0,12.0,510,570,780,840,870,930
12,50.0,35.0,19.0,750,810,840,900,600,660
13,30.0,25.0,23.0,630,690,480,540,840,900
14,15.0,10.0,20.0,900,960,660,720,510,570
15,30.0,5.0,8.0,570,630,780,840,510,570
16,10.0,20.0,19.0,720,780,600,660,510,570
17,5.0,30.0,2.0,540,600,480,540,810,870
18,20.0,40.0,12.0,480,540,630,690,900,960
19,15.0,60.0,17.0,480,540,690,750,870,930
20,45.0,65.0,9.0,870,930,810,870,510,570
21,45.0,20.0,11.0,600,660,870,930,660,720
22,45.0,10.0,18.0,630,690,690,750,510,570
23,55.0,5.0,29.0,600,660,480,540,840,900
24,65.0,35.0,3.0,690,750,540,600,900,960
25,65.0,20.0,6.0,780,840,840,900,480,540
26,45.0,30.0,17.0,630,690,690,750,480,540
27,35.0,40.0,16.0,870,930,600,660,750,810
28,41.0,37.0,16.0,810,870,900,960,480,540
29,64.0,42.0,9.0,630,690,810,870,540,600
30,40.0,60.0,21.0,480,540,720,780,780,840
31,31.0,52.0,27.0,630,690,900,960,750,810
32,35.0,69.0,23.0,510,570,900,960,660,720
33,53.0,52.0,11.0,810,870,720,780,630,690
34,65.0,55.0,14.0,660,720,870,930,480,540
35,63.0,65.0,8.0,570,630,690,750,480,540
36,2.0,60.0,5.0,540,600,780,840,480,540
37,20.0,20.0,8.0,810,870,540,600,480,540
38,5.0,5.0,16.0,570,630,870,930,690,750
39,60.0,12.0,31.0,660,720,720,780,480,540
40,40.0,25.0,9.0,900,960,780,840,510,570
41,42.0,7.0,5.0,900,960,540,600,750,810
42,24.0,12.0,5.0,780,840,510,570,570,630
43,23.0,3.0,7.0,600,660,480,540,900,960
44,11.0,14.0,18.0,540,600,600,660,750,810
45,6.0,38.0,16.0,720,780,630,690,840,900
46,2.0,48.0,1.0,660,720,870,930,810,870
47,8.0,56.0,27.0,660,720,780,840,570,630
48,13.0,52.0,36.0,480,540,810,870,690,750
49,6.0,68.0,30.0,540,600,630,690,480,540
50,47.0,47.0,13.0,750,810,480,540,630,690
51,49.0,58.0,10.0,660,720,780,840,870,930
52,27.0,43.0,9.0,870,930,660,720,780,840
53,37.0,31.0,14.0,660,720,540,600,810,870
54,57.0,29.0,18.0,630,690,690,750,540,600
55,63.0,23.0,2.0,780,840,900,960,660,720
56,53.0,12.0,6.0,630,690,540,600,810,870
57,32.0,12.0,7.0,600,660,840,900,690,750
58,36.0,26.0,18.0,480,540,630,690,840,900
59,21.0,24.0,28.0,570,630,720,780,780,840
60,17.0,34.0,3.0,870,930,780,840,570,630
61,12.0,24.0,13.0,660,720,780,840,840,900
62,24.0,58.0,19.0,480,540,720,780,630,690
63,27.0,69.0,10.0,630,690,510,570,690,750
64,15.0,77.0,9.0,750,810,660,720,600,660
65,62.0,77.0,20.0,870,930,780,840,630,690
66,49.0,73.0,25.0,900,960,480,540,840,900
67,67.0,5.0,25.0,750,810,660,720,870,930
68,56.0,39.0,36.0,870,930,660,720,750,810
69,37.0,47.0,6.0,570,630,870,930,780,840
70,37.0,56.0,5.0,900,960,600,660,660,720
71,57.0,68.0,15.0,780,840,540,600,600,660
72,47.0,16.0,25.0,600,660,900,960,510,570
73,44.0,17.0,9.0,570,630,750,810,900,960
74,46.0,13.0,8.0,750,810,870,930,510,570
75,49.0,11.0,18.0,690,750,780,840,630,690
76,49.0,42.0,13.0,540,600,810,870,480,540
77,53.0,43.0,14.0,900,960,660,720,480,540
78,61.0,52.0,3.0,750,810,480,540,900,960
79,57.0,48.0,23.0,600,660,840,900,690,750
80,56.0,37.0,6.0,780,840,600,660,480,540
81,55.0,54.0,26.0,900,960,630,690,480,540
82,15.0,47.0,16.0,900,960,480,540,600,660
83,14.0,37.0,11.0,630,690,780,840,870,930
84,11.0,31.0,7.0,510,570,630,690,780,840
85,16.0,22.0,41.0,810,870,690,750,900,960
86,4.0,18.0,35.0,720,780,840,900,540,600
87,28.0,18.0,26.0,690,750,570,630,510,570
88,26.0,52.0,9.0,780,840,630,690,870,930
89,26.0,35.0,15.0,810,870,630,690,480,540
90,31.0,67.0,3.0,900,960,540,600,690,750
91,15.0,19.0,1.0,600,660,690,750,540,600
92,22.0,22.0,2.0,630,690,480,540,570,630
93,18.0,24.0,22.0,810,870,630,690,870,930
94,26.0,27.0,27.0,600,660,540,600,750,810
95,25.0,24.0,20.0,660,720,510,570,840,900
96,22.0,27.0,11.0,510,570,780,840,570,630
97,25.0,21.0,12.0,660,720,840,900,780,840
98,19.0,21.0,10.0,480,540,600,660,750,810
99,20.0,26.0,9.0,900,960,780,840,630,690
100,18.0,18.0,17.0,900,960,570,630,510,570
